"April 07, 2014 at 12:46AM","April 07, 2014 at 06:30AM",5h 45m,20706,3h 2m,10925,51.07%,2h 43m,9781,45.72%,11m,687,3.21%
"April 07, 2014 at 10:52PM","April 08, 2014 at 06:20AM",7h 37m,27445,4h 0m,14400,48.32%,3h 28m,12480,41.88%,39m,2354,7.9%
"April 08, 2014 at 11:12PM","April 09, 2014 at 06:30AM",7h 41m,27715,4h 10m,15007,51.83%,3h 13m,11581,40%,20m,1240,4.28%
"April 09, 2014 at 11:43PM","April 10, 2014 at 06:30AM",6h 37m,23831,3h 37m,13020,51.87%,3h 0m,10811,43.07%,21m,1270,5.06%
"April 15, 2014 at 12:37AM","April 15, 2014 at 06:30AM",5h 56m,21384,3h 2m,10926,46.68%,2h 50m,10201,43.58%,33m,2023,8.64%
"April 15, 2014 at 10:19PM","April 16, 2014 at 06:30AM",8h 12m,29528,4h 10m,15006,45.18%,3h 53m,13980,42.09%,1h 1m,3686,11.1%
"April 16, 2014 at 10:35PM","April 17, 2014 at 06:30AM",8h 10m,29417,4h 14m,15244,48.91%,3h 46m,13560,43.5%,29m,1753,5.62%
"April 17, 2014 at 11:04PM","April 17, 2014 at 11:05PM",2m,172,0,0,0%,2m,172,30.12%,6m,399,69.88%
"April 18, 2014 at 01:30AM","April 18, 2014 at 06:30AM",7h 43m,27780,1h 35m,5700,19.79%,3h 30m,12600,43.75%,17m,1020,3.54%
"April 17, 2014 at 10:30PM","April 18, 2014 at 06:30AM",8h 0m,28800,0,0,0%,0,0,0%,0,0,0%
"April 18, 2014 at 11:05PM","April 19, 2014 at 07:10AM",8h 8m,29327,5h 30m,19847,66.16%,2h 38m,9480,31.6%,11m,673,2.24%
"April 20, 2014 at 12:26AM","April 20, 2014 at 08:05AM",7h 32m,27172,4h 51m,17511,61.52%,2h 41m,9661,33.94%,21m,1294,4.55%
"April 21, 2014 at 12:08AM","April 21, 2014 at 06:30AM",6h 21m,22873,4h 21m,15673,65.82%,2h 0m,7200,30.24%,15m,938,3.94%
"April 21, 2014 at 11:25PM","April 22, 2014 at 07:05AM",7h 25m,26731,4h 18m,15538,51.7%,3h 2m,10928,36.36%,55m,3322,11.05%
"April 22, 2014 at 11:53PM","April 23, 2014 at 06:30AM",6h 40m,24006,3h 18m,11880,47.24%,3h 22m,12126,48.22%,19m,1143,4.54%
"April 24, 2014 at 12:22AM","April 24, 2014 at 06:30AM",6h 7m,22035,2h 42m,9735,42.08%,3h 25m,12300,53.16%,18m,1102,4.76%
"April 24, 2014 at 11:33PM","April 25, 2014 at 06:30AM",7h 0m,25252,3h 6m,11212,43.25%,3h 54m,14040,54.16%,11m,671,2.59%
"April 25, 2014 at 10:45PM","April 26, 2014 at 02:20AM",3h 35m,12900,1h 45m,6300,44.68%,1h 50m,6600,46.81%,20m,1200,8.51%
"April 26, 2014 at 02:57AM","April 26, 2014 at 07:40AM",4h 32m,16320,1h 59m,7140,39.12%,2h 33m,9180,50.3%,32m,1930,10.58%
"April 26, 2014 at 11:25PM","April 27, 2014 at 08:30AM",8h 20m,30000,4h 45m,17100,50%,3h 35m,12900,37.72%,1h 10m,4200,12.28%
"April 28, 2014 at 12:24AM","April 28, 2014 at 06:30AM",6h 8m,22117,2h 6m,7560,30.06%,3h 58m,14280,56.78%,50m,3032,12.06%
"April 29, 2014 at 12:06AM","April 29, 2014 at 06:30AM",6h 37m,23855,3h 55m,14109,53.16%,2h 29m,8952,33.73%,44m,2685,10.12%
"April 30, 2014 at 12:44AM","April 30, 2014 at 05:35AM",5h 20m,19247,1h 44m,6299,31.39%,3h 8m,11281,56.22%,13m,818,4.08%
"May 01, 2014 at 12:17AM","May 01, 2014 at 07:25AM",7h 0m,25236,3h 47m,13677,52.2%,3h 12m,11559,44.11%,16m,967,3.69%
"May 01, 2014 at 07:50PM","May 01, 2014 at 10:15PM",2h 20m,8400,50m,3000,33.33%,1h 30m,5400,60%,10m,600,6.67%
"May 02, 2014 at 02:55AM","May 02, 2014 at 06:40AM",3h 51m,13866,1h 57m,7046,45.16%,1h 43m,6181,39.61%,28m,1737,11.13%
"May 04, 2014 at 04:17AM","May 04, 2014 at 10:30AM",6h 9m,22178,2h 50m,10205,41.15%,3h 17m,11821,47.67%,43m,2621,10.57%
"May 04, 2014 at 11:50PM","May 05, 2014 at 06:30AM",6h 47m,24456,2h 43m,9787,37.75%,4h 0m,14404,55.56%,24m,1469,5.67%
"May 05, 2014 at 10:20PM","May 06, 2014 at 04:35AM",6h 45m,24301,2h 38m,9538,35.52%,3h 33m,12781,47.6%,42m,2548,9.49%
"May 07, 2014 at 12:05AM","May 07, 2014 at 06:55AM",6h 36m,23819,2h 55m,10500,39.52%,3h 36m,12967,48.81%,45m,2747,10.34%
"May 08, 2014 at 04:21AM","May 08, 2014 at 06:30AM",2h 43m,9797,55m,3309,32.57%,1h 16m,4560,44.89%,6m,362,3.56%
"May 08, 2014 at 10:19PM","May 09, 2014 at 06:30AM",8h 33m,30799,4h 16m,15368,46.25%,3h 59m,14341,43.16%,40m,2426,7.3%
"May 09, 2014 at 10:19PM","May 10, 2014 at 07:00AM",9h 27m,34051,5h 38m,20280,58.22%,3h 2m,10921,31.35%,13m,784,2.25%
"May 11, 2014 at 01:46AM","May 11, 2014 at 07:45AM",5h 57m,21420,3h 29m,12540,49.91%,2h 28m,8880,35.34%,1h 1m,3706,14.75%
"May 10, 2014 at 10:05PM","May 10, 2014 at 11:35PM",1h 25m,5100,20m,1200,20%,1h 5m,3900,65%,15m,900,15%
"May 12, 2014 at 12:30AM","May 12, 2014 at 06:30AM",6h 0m,21614,1h 56m,6975,30.18%,4h 2m,14579,63.07%,25m,1500,6.49%
"May 12, 2014 at 10:40PM","May 13, 2014 at 06:30AM",7h 36m,27393,2h 49m,10173,34.85%,4h 47m,17220,58.99%,29m,1799,6.16%
"May 13, 2014 at 10:26PM","May 14, 2014 at 06:30AM",8h 5m,29111,3h 57m,14230,47.22%,4h 8m,14881,49.38%,17m,1022,3.39%
"May 15, 2014 at 01:06AM","May 15, 2014 at 06:30AM",5h 25m,19504,2h 22m,8524,42.87%,3h 3m,10980,55.22%,6m,381,1.92%
"May 15, 2014 at 10:54PM","May 16, 2014 at 06:30AM",7h 35m,27348,3h 27m,12468,43.61%,4h 8m,14880,52.05%,20m,1242,4.34%
"May 17, 2014 at 12:45AM","May 17, 2014 at 07:30AM",6h 55m,24900,3h 50m,13800,47.92%,2h 40m,9600,33.33%,1h 5m,3900,13.54%
