Date,TotalSteps,DistanceCoveredMI,DistanceCoveredKM,TotalCaloriesBurned,TotalActiveTime,TotalActiveTimeInSeconds,PercentTimeActive,TotalInactiveTime,TotalInactiveTimeInSeconds,PercentTimeInactive
3/18/15,8540,5.63,9.059,944.43,1h 0m,3650,69.26%,27m,1620,30.74%
3/20/15,8922,4.49,7.234,1366.33,2h 10m,7829,19.40%,9h 2m,32520,80.60%
3/21/15,7178,3.63,5.841,513.6,1h 4m,3854,11.19%,8h 30m,30600,88.81%
3/22/15,3250,1.69,2.715,230.98,27m,1669,4.81%,9h 10m,33000,95.19%
3/23/15,14316,8.65,13.923,1343.13,1h 48m,6510,16.76%,8h 59m,32340,83.24%
3/24/15,10966,6.98,11.231,1129.83,1h 19m,4744,11.61%,10h 2m,36120,88.39%
3/25/15,12517,7.69,12.373,1244.87,1h 35m,5706,14.43%,9h 24m,33840,85.57%
3/26/15,8372,4.56,7.342,651.6,1h 10m,4205,10.43%,10h 2m,36120,89.57%
3/27/15,15062,9.39,15.109,1453.62,1h 57m,7024,18.94%,8h 21m,30060,81.06%
3/28/15,888,0.48,0.771,69.37,7m,425,1.13%,10h 22m,37320,98.87%
3/29/15,3364,1.72,2.766,229.89,29m,1785,4.97%,9h 29m,34140,95.03%
3/30/15,2079,1.02,1.645,132.56,19m,1159,3.01%,10h 23m,37380,96.99%
3/31/15,8307,5.37,8.64,839.29,59m,3562,8.65%,10h 27m,37620,91.35%
4/1/15,9695,6.19,9.964,975.09,1h 11m,4316,11.76%,9h 0m,32400,88.24%
4/2/15,3332,1.67,2.681160441,261.3,8m,515,1.29%,10h 57m,39420,98.71%
4/3/15,12922,7.82,12.58953533,1198.75,1h 20m,4817,12.63%,9h 15m,33315,87.37%
4/4/15,4393,2.21,3.551644406,291.64,30m,1831,5.45%,8h 49m,31750,94.55%
4/5/15,7644,3.81,6.132914437,487.6,26m,1608,4.69%,9h 4m,32696,95.31%
4/6/15,5380,2.69,4.328668392,403.57,16m,1016,2.54%,10h 49m,38985,97.46%
4/7/15,3811,1.93,3.098519554,256.91,29m,1770,4.75%,9h 51m,35499,95.25%
4/8/15,3434,1.75,2.81043245,232.39,24m,1478,4.06%,9h 42m,34961,95.94%
4/9/15,4460,2.29,3.690202996,315.01,33m,2008,5.40%,9h 46m,35163,94.60%
4/10/15,6938,3.54,5.701890916,533.52,1h 3m,3797,9.93%,9h 33m,34437,90.07%
4/11/15,2694,1.35,2.167780963,217.22,2m,143,0.36%,10h 57m,39420,99.64%
4/12/15,2123,1.08,1.731120362,146.77,14m,845,2.34%,9h 48m,35326,97.66%
4/13/15,16676,9.76,15.7086395,1480.28,1h 56m,6992,17.50%,9h 9m,32967,82.50%
4/14/15,4843,2.46,3.956309414,331.76,38m,2326,6.55%,9h 13m,33182,93.45%
4/15/15,4957,2.54,4.081360161,345.74,37m,2223,5.79%,10h 3m,36197,94.21%
4/16/15,4327,2.16,3.481767439,305.5,29m,1765,4.68%,9h 59m,35961,95.32%
4/17/15,4884,2.41,3.8799619,343.22,28m,1703,4.79%,9h 23m,33833,95.21%
4/18/15,8737,4.37,7.033323029,563.7,52m,3167,10.23%,7h 43m,27803,89.77%
4/19/15,14320,8.27,13.30193133,1262.72,1h 45m,6331,18.82%,7h 35m,27317,81.18%
4/20/15,11394,6.73,10.83468076,1022.36,1h 19m,4754,12.06%,9h 37m,34664,87.94%
4/21/15,4546,2.31,3.710914693,310.77,37m,2263,6.27%,9h 23m,33804,93.73%
